Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11
0,1,0.0945333,0,6,0,0.513333,0.68,0.637629,3,0
0,2,0.264308,1,2,3,0.775417,0.26,0.254417,1,0
1,1,0.174129,1,12,4,0.485833,0.295833,0.294188,4,0
0,3,0.138054,1,11,1,0.91,0.4475,0.445062,4,0
0,1,0.230092,0,5,6,0.729583,0.655833,0.612379,2,0
0,1,0.208342,0,7,6,0.585,0.686667,0.638263,3,0
0,2,0.157963,0,1,6,0.49875,0.233333,0.248112,1,0
1,2,0.238813,1,8,5,0.715833,0.715833,0.667942,3,0
0,1,0.153608,0,9,6,0.75375,0.66,0.607962,3,0
0,1,0.248754,0,8,0,0.77,0.710833,0.675525,3,0
1,2,0.156096,1,5,2,0.659583,0.613333,0.577021,2,0
1,1,0.253733,1,6,4,0.569583,0.648333,0.624383,2,0
0,1,0.304659,0,8,0,0.561765,0.707059,0.647959,3,0
0,1,0.15833,1,1,1,0.491739,0.0973913,0.11793,1,0
1,1,0.118167,1,9,4,0.618333,0.546667,0.532192,3,0
0,1,0.1107,1,4,4,0.540417,0.4675,0.462742,2,0
1,1,0.141796,1,8,4,0.519167,0.719167,0.654688,3,0
1,2,0.281104,0,9,6,0.799167,0.659167,0.611121,3,0
0,2,0.152979,0,5,0,0.867083,0.5625,0.536,2,0
1,1,0.261817,1,1,2,0.416667,0.39,0.381317,1,0
0,2,0.148629,1,9,3,0.84875,0.635,0.575158,4,0
0,1,0.174138,1,7,5,0.5425,0.838333,0.785967,3,0
0,2,0.13495,0,5,6,0.9225,0.520833,0.500629,2,0
0,2,0.288783,1,3,1,0.737391,0.430435,0.409735,2,0
1,1,0.10635,1,10,5,0.6275,0.615,0.580187,4,0
1,2,0.237562,1,11,2,0.786667,0.291667,0.281558,4,0
1,1,0.207713,1,3,1,0.489167,0.466667,0.459592,1,0
0,2,0.219521,1,4,5,0.729583,0.336667,0.321954,2,0
0,1,0.282337,1,7,1,0.635833,0.7625,0.729804,3,0
1,1,0.421642,0,2,6,0.395833,0.290833,0.255675,1,0
0,1,0.131221,0,7,6,0.5,0.849167,0.804287,3,0
1,2,0.0721458,1,8,5,0.615,0.7025,0.6471,3,0
1,2,0.222642,0,1,6,0.83125,0.173333,0.174875,1,0
1,1,0.236325,1,11,1,0.494167,0.319167,0.308075,4,0
0,1,0.368167,0,3,6,0.379167,0.4725,0.466525,1,0
1,2,0.116908,1,8,2,0.70375,0.735833,0.697621,3,0
1,2,0.208967,1,7,5,0.844167,0.665833,0.613025,3,0
1,1,0.173513,1,11,2,0.567083,0.280833,0.281567,4,0
0,1,0.115054,0,9,0,0.71375,0.653333,0.609229,3,0
1,1,0.31965,1,3,4,0.439167,0.494167,0.482304,2,0
0,1,0.0454083,1,2,1,0.738333,0.271667,0.303658,1,0
1,1,0.225117,0,5,0,0.57625,0.6125,0.585238,2,0
0,2,0.164183,1,9,5,0.590417,0.469167,0.461475,3,0
0,1,0.189667,1,5,4,0.7475,0.535,0.523363,2,0
0,1,0.178483,0,9,0,0.695,0.5075,0.490537,3,0
0,1,0.27675,1,8,1,0.47,0.691667,0.638254,3,0
0,1,0.195683,1,2,2,0.577778,0.182222,0.186033,1,0
0,2,0.0503792,0,9,0,0.845,0.634167,0.572637,4,0
0,1,0.160296,1,1,2,0.590435,0.2,0.212122,1,0
0,1,0.12065,1,3,2,0.420833,0.2925,0.3024,1,0
1,1,0.195267,1,7,1,0.447083,0.781667,0.702038,3,0
0,1,0.166658,1,10,2,0.622917,0.471667,0.463375,4,0
0,1,0.20585,1,8,2,0.49125,0.783333,0.707071,3,0
0,1,0.314675,0,11,5,0.44625,0.324167,0.306817,4,1
0,2,0.187192,1,1,1,0.60375,0.180833,0.18625,1,0
0,1,0.200254,1,7,2,0.559167,0.794167,0.739275,3,0
1,1,0.165425,1,7,2,0.704167,0.713333,0.662896,3,0
1,1,0.15735,1,6,4,0.567083,0.6025,0.569442,2,0
0,1,0.172896,1,12,1,0.6375,0.276667,0.280933,4,0
0,1,0.417908,1,2,1,0.375833,0.415,0.39835,1,0
1,1,0.136817,1,5,5,0.523333,0.564167,0.551121,2,0
1,1,0.274871,0,4,6,0.254167,0.4375,0.426129,2,0
0,1,0.200258,1,7,2,0.540833,0.771667,0.696979,3,0
0,1,0.212062,0,11,6,0.552917,0.356667,0.357942,4,0
0,1,0.422275,1,10,4,0.63625,0.475833,0.466525,4,0
1,2,0.126883,0,3,0,0.81,0.4725,0.464,1,0
1,2,0.398008,0,10,0,0.694583,0.4775,0.467771,4,0
0,1,0.1418,0,2,0,0.568333,0.285833,0.291671,1,0
1,1,0.358196,1,4,1,0.3175,0.489167,0.476638,2,0
1,1,0.284833,1,6,1,0.487083,0.5975,0.578283,2,0
0,1,0.104467,0,8,6,0.674167,0.6975,0.648996,3,0
0,1,0.123142,0,6,6,0.45625,0.635,0.594696,2,0
1,2,0.228858,0,8,0,0.845833,0.653333,0.595996,3,0
1,1,0.175383,1,6,5,0.467917,0.649167,0.597862,2,0
0,1,0.154233,1,5,3,0.69625,0.660833,0.615542,2,0
1,1,0.10635,0,12,6,0.650417,0.324167,0.338383,4,0
1,1,0.114429,1,7,2,0.505833,0.818333,0.755683,3,0
0,2,0.207092,1,5,2,0.740833,0.66,0.604813,2,0
0,2,0.197763,1,10,4,0.812917,0.47,0.457046,4,0
1,1,0.118787,1,6,4,0.567917,0.805833,0.752542,3,0
0,2,0.047275,1,12,4,0.7575,0.423333,0.426121,1,0
1,1,0.169771,1,8,3,0.619583,0.706667,0.654037,3,0
0,1,0.233221,0,12,6,0.5075,0.275,0.266412,4,0
1,2,0.0989,1,1,1,0.701667,0.224167,0.247479,1,0
1,1,0.0827208,1,9,4,0.637083,0.6125,0.579558,3,0
0,1,0.0957833,0,12,6,0.612917,0.299167,0.310604,4,0
0,1,0.230725,1,3,5,0.495,0.264167,0.256312,2,0
0,2,0.139929,1,9,5,0.727083,0.643333,0.604808,3,0
1,1,0.215792,1,1,1,0.400833,0.269167,0.262625,1,0
0,1,0.0833333,1,8,3,0.597917,0.656667,0.611121,3,0
0,1,0.303496,0,4,0,0.479583,0.456667,0.445696,2,0
0,1,0.223267,1,1,1,0.482917,0.150833,0.150888,1,0
1,1,0.187192,1,3,2,0.29,0.323333,0.315654,2,0
1,1,0.376871,0,11,6,0.404583,0.278333,0.248742,4,0
1,1,0.04665,1,11,1,0.535417,0.313333,0.339004,4,0
0,1,0.36195,0,1,0,0.434167,0.138333,0.116175,1,0
1,1,0.266175,1,11,5,0.522083,0.355,0.356042,4,0
1,1,0.136212,1,8,1,0.545417,0.720833,0.662254,3,0
0,2,0.160446,0,1,6,0.805833,0.344167,0.363625,1,0
1,1,0.198992,0,5,6,0.7325,0.6925,0.642696,2,0
0,2,0.260575,1,12,5,0.500417,0.375,0.359825,4,0
1,3,0.289796,0,2,6,0.73125,0.224167,0.210867,1,0
1,1,0.258713,1,9,1,0.50375,0.583333,0.565654,3,0
0,1,0.0223917,1,10,5,0.684167,0.510833,0.504404,4,0
1,3,0.2133,0,7,6,0.865417,0.595833,0.549912,3,0
0,1,0.176617,0,10,0,0.62375,0.319167,0.321329,4,0
1,2,0.199638,0,1,0,0.79625,0.1625,0.16225,1,0
0,2,0.192175,0,4,0,0.810833,0.581667,0.551763,2,0
0,2,0.128125,1,9,4,0.902083,0.628333,0.554963,3,0
0,1,0.231017,1,3,5,0.525217,0.54,0.527009,1,0
0,1,0.134337,1,12,5,0.636667,0.311667,0.318812,1,0
0,1,0.164813,0,7,0,0.480833,0.805833,0.729796,3,0
1,2,0.167912,1,4,3,0.569167,0.463333,0.457038,2,0
1,1,0.190913,1,2,4,0.554583,0.454167,0.444446,1,0
0,1,0.141796,1,9,4,0.639167,0.655,0.614921,3,0
0,1,0.156717,1,8,1,0.550833,0.771667,0.703292,3,0
1,2,0.1306,1,12,5,0.764167,0.320833,0.321958,4,0
0,1,0.22575,1,3,2,0.624583,0.441667,0.440642,2,0
0,2,0.222013,0,10,0,0.791667,0.356667,0.345317,4,0
0,1,0.182213,0,4,0,0.48,0.378333,0.378767,2,0
0,1,0.140554,1,6,5,0.605,0.755,0.703292,2,0
1,1,0.415429,1,1,3,0.443333,0.303333,0.275254,1,0
1,2,0.157975,0,12,0,0.905417,0.384167,0.390146,4,0
1,2,0.190308,1,12,1,0.925,0.435833,0.435575,4,0
1,2,0.131221,1,1,3,0.8475,0.274167,0.282821,1,0
0,1,0.118792,1,10,1,0.772083,0.463333,0.457067,4,0
0,1,0.141804,1,9,2,0.7125,0.650833,0.603554,3,0
1,1,0.166667,0,7,0,0.717917,0.745833,0.705196,3,0
0,1,0.225754,1,3,4,0.318333,0.198333,0.200133,1,0
1,1,0.184092,1,12,3,0.625417,0.3325,0.342162,4,0
1,1,0.228858,1,3,1,0.50625,0.243333,0.241171,1,0
1,1,0.138058,1,5,3,0.797083,0.564167,0.537896,2,0
1,1,0.189067,1,2,3,0.507917,0.469167,0.466538,1,0
1,1,0.129987,1,1,4,0.524167,0.265833,0.278412,1,0
0,2,0.243167,0,12,6,0.560833,0.258333,0.249371,4,0
0,2,0.342667,1,5,2,0.697083,0.616667,0.582079,2,0
1,2,0.304108,1,11,3,0.5475,0.295833,0.274621,4,0
0,2,0.324474,1,4,1,0.716956,0.595652,0.565217,2,0
0,2,0.188839,1,2,3,0.494783,0.134783,0.144283,1,0
0,2,0.197146,0,4,6,0.65375,0.315,0.315637,2,0
1,1,0.103246,1,11,3,0.61375,0.353333,0.364892,4,0
1,1,0.163554,0,7,6,0.492083,0.861667,0.804913,3,0
1,1,0.129354,1,8,4,0.659583,0.7525,0.707088,3,0
1,1,0.134958,0,9,0,0.583333,0.526667,0.517663,4,0
1,1,0.121271,1,3,2,0.807917,0.560833,0.538533,1,0
0,2,0.223883,1,10,5,0.71625,0.550833,0.529675,4,0
0,1,0.134954,1,10,4,0.620833,0.494167,0.480425,4,0
0,1,0.209579,1,3,4,0.602917,0.415,0.410333,1,0
1,1,0.196521,0,5,1,0.67625,0.7125,0.6793,2,1
1,1,0.177867,0,8,6,0.603333,0.678333,0.618071,3,0
0,1,0.0995125,0,10,0,0.74125,0.421667,0.422333,4,0
1,1,0.187183,0,1,6,0.4575,0.18,0.183087,1,0
0,2,0.258092,1,11,2,0.830833,0.458333,0.451375,4,0
0,2,0.258708,1,4,5,0.68625,0.3,0.283454,2,0
1,1,0.2954,1,5,2,0.684583,0.7225,0.672992,2,0
0,1,0.10635,1,10,1,0.703333,0.34,0.356063,4,0
0,2,0.0783833,0,9,6,0.8625,0.606667,0.564412,4,0
1,1,0.2444,1,9,3,0.630833,0.635,0.596613,4,0
0,2,0.1107,1,9,1,0.848333,0.649167,0.589042,4,0
0,2,0.0814792,0,7,1,0.637917,0.726667,0.665417,3,1
0,2,0.134954,1,9,2,0.88125,0.561667,0.532217,3,0
1,2,0.0982583,1,12,1,0.907083,0.393333,0.4015,4,0
0,2,0.189675,0,9,6,0.718333,0.491667,0.478512,3,0
0,1,0.176,1,5,1,0.58875,0.5325,0.525246,2,0
0,1,0.277752,1,2,4,0.437826,0.186957,0.177878,1,0
0,3,0.192748,1,9,4,0.939565,0.633913,0.555361,3,0
0,1,0.183463,1,7,3,0.402917,0.775,0.690667,3,0
1,2,0.220775,0,3,0,0.880833,0.4375,0.437488,2,0
1,1,0.165417,1,6,5,0.48875,0.834167,0.786613,3,0
1,2,0.141179,1,2,2,0.50875,0.319167,0.333946,1,0
0,1,0.269283,1,6,2,0.507083,0.604167,0.591546,2,0
0,2,0.1843,0,3,0,0.493913,0.253043,0.250339,2,0
1,2,0.350133,1,12,4,0.652917,0.254167,0.226642,1,0
1,2,0.296037,1,10,1,0.7075,0.561667,0.53915,4,0
1,1,0.153617,1,7,1,0.66875,0.730833,0.684987,3,0
0,2,0.210833,1,8,4,0.771667,0.684167,0.645854,3,0
0,2,0.225129,1,7,5,0.757917,0.709167,0.670483,3,0
1,1,0.249383,1,4,2,0.454167,0.413333,0.405283,2,0
1,1,0.211454,1,7,2,0.655,0.750833,0.70645,3,0
0,2,0.320908,1,4,4,0.700833,0.6175,0.578929,2,0
0,3,0.340808,0,4,6,0.888333,0.430833,0.425492,2,0
0,1,0.183471,0,7,0,0.578333,0.7475,0.690025,3,0
0,1,0.251791,1,2,3,0.423478,0.318261,0.3162,1,0
1,2,0.116929,1,2,5,0.54,0.280833,0.293558,1,0
1,1,0.187821,1,10,3,0.630833,0.514167,0.503142,4,0
0,3,0.232583,1,12,2,0.949583,0.4625,0.4564,4,0
0,2,0.233842,1,5,1,0.81,0.631667,0.590296,2,0
0,1,0.159825,1,8,1,0.554583,0.636667,0.607958,3,0
1,1,0.133721,0,6,0,0.538333,0.726667,0.663517,2,0
0,2,0.266804,0,1,6,0.535833,0.165,0.162254,1,0
0,1,0.307833,1,3,3,0.449583,0.335,0.320071,1,0
1,1,0.210821,1,11,3,0.50625,0.296667,0.289762,4,0
0,2,0.2214,1,12,3,0.858333,0.428333,0.428017,1,0
0,1,0.102608,1,7,5,0.39625,0.7225,0.652162,3,0
1,2,0.179117,1,2,3,0.804783,0.344348,0.34847,1,0
1,1,0.176617,1,6,5,0.589583,0.639167,0.599754,2,0
1,2,0.1903,1,10,2,0.761667,0.446667,0.438112,4,0
0,1,0.0988958,1,11,5,0.64375,0.375,0.380671,4,0
1,2,0.143679,0,7,6,0.699167,0.703333,0.666042,3,0
0,1,0.146763,1,8,2,0.455417,0.640833,0.606067,3,0
1,2,0.124375,1,10,4,0.800417,0.55,0.529688,4,0
0,1,0.115671,1,5,2,0.489167,0.5325,0.522721,2,0
1,1,0.174754,1,12,4,0.50875,0.255833,0.258204,4,0
1,1,0.172896,1,5,4,0.716667,0.655,0.6067,2,0
1,2,0.117546,1,10,4,0.722917,0.6575,0.607975,4,0
0,1,0.236329,1,8,2,0.578333,0.700833,0.645837,3,0
1,1,0.23695,1,3,2,0.6175,0.565,0.542929,1,0
0,2,0.18595,0,11,0,0.684583,0.463333,0.457058,4,0
1,1,0.347642,1,6,2,0.373333,0.630833,0.594704,3,0
0,1,0.200258,1,8,3,0.424167,0.766667,0.684983,3,0
1,2,0.180975,1,7,1,0.683333,0.710833,0.654054,3,0
0,1,0.164796,1,8,4,0.42375,0.7175,0.651521,3,0
1,1,0.24005,0,1,0,0.31125,0.2825,0.272721,1,0
0,2,0.107588,1,6,1,0.658333,0.6825,0.637004,3,0
0,1,0.208954,0,11,0,0.698333,0.459167,0.4558,4,0
0,1,0.146133,1,7,3,0.631667,0.746667,0.689404,3,0
1,2,0.0665458,1,10,3,0.79375,0.6575,0.599133,4,0
1,2,0.113192,1,3,5,0.842083,0.435833,0.436229,1,0
1,1,0.146142,0,10,6,0.494583,0.393333,0.391396,4,0
0,2,0.151742,1,9,1,0.69,0.549167,0.529675,3,0
1,1,0.161071,1,1,3,0.64375,0.294167,0.294821,1,0
1,2,0.151742,1,9,1,0.734583,0.580833,0.55305,3,0
0,2,0.343287,0,3,0,0.948261,0.376522,0.366252,1,0
0,3,0.24815,1,10,3,0.90625,0.543333,0.517717,4,0
0,1,0.168533,1,11,5,0.41,0.274167,0.272721,4,0
0,1,0.185333,1,4,1,0.776667,0.606667,0.5745,2,0
0,3,0.118792,1,11,2,0.9625,0.416667,0.421696,4,0
1,1,0.117562,1,3,4,0.83125,0.554167,0.531567,2,0
0,1,0.208954,1,8,1,0.712083,0.665833,0.616167,3,0
1,1,0.148017,1,6,2,0.69,0.688333,0.654692,2,0
1,1,0.227612,0,11,0,0.692917,0.3425,0.337746,4,0
1,2,0.124379,0,12,0,0.823333,0.3475,0.359208,4,0
1,1,0.268025,0,10,6,0.664167,0.554167,0.538521,4,0
1,1,0.314063,1,5,4,0.552083,0.505833,0.491783,2,0
1,2,0.162937,1,12,3,0.538333,0.2975,0.297338,4,0
0,2,0.23297,1,3,5,0.649565,0.316522,0.305,1,0
1,1,0.125629,0,7,0,0.57375,0.8225,0.790396,3,0
1,2,0.296037,1,12,2,0.596667,0.353333,0.338363,4,0
0,1,0.1869,1,1,3,0.436957,0.226957,0.22927,1,0
1,1,0.409212,0,2,0,0.464583,0.1275,0.101658,1,0
1,2,0.244408,0,8,6,0.712917,0.661667,0.618696,3,0
0,1,0.182833,1,7,5,0.59125,0.663333,0.624371,3,0
1,1,0.210829,0,1,6,0.543333,0.315833,0.326379,1,0
1,1,0.254367,0,5,0,0.530417,0.620833,0.583967,2,0
0,1,0.178479,1,7,4,0.583333,0.779167,0.7399,3,0
0,1,0.16045,0,5,6,0.54125,0.52,0.512621,2,0
0,1,0.325258,1,4,4,0.407083,0.459167,0.453892,2,0
0,1,0.205854,1,10,2,0.71,0.484167,0.472858,4,0
0,1,0.293961,1,12,3,0.503913,0.29913,0.279974,1,0
0,2,0.375617,0,8,6,0.85,0.68,0.635556,3,0
1,2,0.141162,0,10,0,0.708333,0.415833,0.419813,4,0
0,2,0.133083,0,4,6,0.8775,0.3425,0.341529,2,0
1,1,0.115062,1,3,3,0.507083,0.5725,0.548617,1,0
1,1,0.131846,1,9,3,0.577083,0.599167,0.570075,3,0
0,1,0.222025,1,6,5,0.573333,0.724167,0.656583,3,0
0,1,0.199642,1,5,4,0.6775,0.708333,0.654688,2,0
0,1,0.240667,1,7,4,0.47625,0.680833,0.635104,3,0
1,1,0.235092,1,10,5,0.539167,0.4375,0.433071,4,0
0,1,0.304627,1,1,3,0.599545,0.172727,0.160473,1,0
0,1,0.36195,1,2,2,0.537917,0.220833,0.198246,1,0
1,2,0.4148,1,3,5,0.407083,0.410833,0.397083,1,0
0,1,0.221935,1,2,4,0.437391,0.144348,0.149548,1,0
1,2,0.101379,0,12,6,0.91125,0.381667,0.389508,4,0
1,1,0.152992,1,7,5,0.594583,0.781667,0.734217,3,0
0,1,0.126258,1,7,2,0.590417,0.746667,0.696338,3,0
1,1,0.103863,1,9,5,0.6725,0.633333,0.594083,3,0
0,1,0.239465,0,12,1,0.506957,0.321739,0.315535,1,1
0,2,0.305362,1,11,4,0.575833,0.341667,0.323221,4,0
0,1,0.185325,0,9,6,0.716667,0.669167,0.633213,3,0
0,1,0.253121,1,6,5,0.354167,0.62,0.587133,2,0
0,2,0.1233,1,1,5,0.793043,0.203478,0.223317,1,0
1,3,0.3582,1,10,1,0.88,0.44,0.4394,4,0
0,1,0.507463,0,2,6,0.187917,0.399167,0.391404,1,0
1,1,0.0814833,1,10,1,0.568333,0.4875,0.482942,4,0
0,2,0.053213,1,2,2,0.829565,0.192174,0.23453,1,0
0,1,0.136926,1,3,1,0.496957,0.325217,0.332,1,0
1,2,0.230721,1,5,1,0.664167,0.5375,0.527142,2,0
0,2,0.143042,1,10,2,0.80875,0.566667,0.546096,4,0
1,1,0.17165,1,6,4,0.4225,0.749167,0.675512,3,0
1,2,0.174746,1,6,1,0.777917,0.568333,0.544842,2,0
1,1,0.187808,1,9,3,0.74125,0.736667,0.708983,3,0
0,2,0.127839,1,2,5,0.585217,0.211304,0.228587,1,0
1,2,0.08085,1,7,5,0.485833,0.731667,0.667933,3,0
0,1,0.0908083,1,7,1,0.757083,0.743333,0.720958,3,0
1,1,0.0827208,1,12,1,0.7675,0.4525,0.455796,4,0
1,2,0.235692,0,10,6,0.72,0.53,0.515133,4,0
0,1,0.216425,1,3,2,0.535,0.266667,0.263879,1,0
1,1,0.144904,0,6,0,0.59875,0.5925,0.571975,2,0
0,2,0.168726,1,1,5,0.498696,0.196522,0.208839,1,0
0,2,0.230725,0,4,6,0.887917,0.46,0.450121,2,0
0,1,0.263063,1,4,3,0.470833,0.390833,0.387608,2,0
1,1,0.1648,1,7,3,0.45,0.724167,0.654054,3,0
1,1,0.273629,1,4,2,0.390417,0.608333,0.598487,2,0
1,1,0.283587,0,4,6,0.682917,0.57,0.542921,2,0
1,1,0.161071,0,6,6,0.60125,0.765,0.687508,3,0
0,2,0.0622083,1,12,1,0.827083,0.385833,0.393925,4,0
0,2,0.148642,1,10,3,0.720417,0.484167,0.472846,4,0
1,2,0.176625,1,4,4,0.756667,0.498333,0.483583,2,0
1,1,0.300388,1,4,5,0.377083,0.403333,0.390767,2,0
0,2,0.250617,1,4,3,0.819167,0.4125,0.417283,2,0
0,2,0.388067,1,4,2,0.642083,0.414167,0.39835,2,0
0,1,0.143029,1,6,5,0.735833,0.649167,0.600383,2,0
1,1,0.334571,0,3,0,0.403333,0.325833,0.303021,1,0
1,1,0.131229,1,12,5,0.642917,0.281667,0.294192,4,0
0,1,0.06345,0,10,0,0.7275,0.540833,0.523983,4,0
0,2,0.183454,1,5,1,0.73,0.549167,0.532833,2,0
0,1,0.167912,0,7,6,0.609167,0.733333,0.664158,3,0
0,3,0.343943,1,9,2,0.886957,0.54,0.5152,3,0
0,1,0.221396,1,10,5,0.574167,0.4275,0.423596,4,0
0,1,0.190304,0,12,6,0.5425,0.3025,0.299242,1,0
1,1,0.345779,1,3,3,0.513333,0.404167,0.3851,1,0
0,1,0.163567,0,6,0,0.747917,0.6925,0.643325,2,0
1,1,0.236321,1,9,2,0.755,0.725833,0.686888,3,0
0,1,0.125013,1,5,5,0.719583,0.536667,0.529042,2,0
0,1,0.175379,1,10,1,0.579583,0.534167,0.510725,4,0
1,1,0.1275,0,11,0,0.659167,0.420833,0.421713,4,0
0,1,0.301,1,1,4,0.470417,0.165,0.150883,1,0
0,2,0.274879,1,4,2,0.739167,0.5025,0.493054,2,0
0,2,0.211454,0,8,6,0.729583,0.685833,0.645858,3,0
1,2,0.216412,1,5,3,0.744167,0.575,0.553025,2,0
0,1,0.213938,0,5,0,0.81875,0.6675,0.61555,2,0
0,2,0.212696,0,9,1,0.790417,0.673333,0.625646,3,1
1,2,0.192783,0,3,6,0.885417,0.5025,0.486733,2,0
1,1,0.133083,0,12,0,0.515417,0.245833,0.259471,1,0
1,1,0.195279,1,5,4,0.492917,0.68,0.631329,2,0
1,1,0.284813,1,7,4,0.596667,0.776667,0.739263,3,0
1,1,0.116908,0,4,0,0.587083,0.458333,0.450121,2,0
1,1,0.173517,0,11,1,0.741667,0.485,0.475383,4,1
0,3,0.0970208,1,9,3,0.917083,0.599167,0.544229,3,0
0,2,0.157971,1,4,2,0.665833,0.505833,0.489258,2,0
1,1,0.343279,1,6,3,0.582083,0.655833,0.611117,2,0
0,1,0.0621958,1,11,3,0.758333,0.4,0.409079,4,0
0,2,0.248539,0,1,0,0.696087,0.363478,0.353739,1,0
0,1,0.0746375,0,5,0,0.631667,0.528333,0.518933,2,0
1,1,0.0727708,1,8,2,0.67375,0.649167,0.601025,3,0
1,1,0.329665,0,1,1,0.381304,0.273043,0.252304,1,1
1,2,0.129354,1,8,1,0.654167,0.7525,0.710246,3,0
0,1,0.06345,1,12,1,0.670833,0.238333,0.270196,4,0
0,1,0.203367,0,2,6,0.544167,0.2225,0.232954,1,0
0,1,0.220158,1,12,4,0.524583,0.3125,0.305554,4,0
0,2,0.203117,1,3,3,0.776522,0.365217,0.36693,1,0
1,1,0.149871,1,4,5,0.694583,0.526667,0.515775,2,0
1,2,0.129979,1,8,1,0.734167,0.635833,0.595967,3,0
0,2,0.19715,1,8,4,0.7575,0.71,0.664788,3,0
0,1,0.126548,1,1,5,0.537826,0.16087,0.188413,1,0
0,2,0.155475,1,6,1,0.74625,0.635,0.595346,2,0
0,2,0.289686,1,2,1,0.876364,0.407273,0.400118,1,0
0,1,0.223235,0,2,0,0.407826,0.285217,0.27733,1,0
1,1,0.077125,1,6,3,0.61125,0.554167,0.542292,2,0
0,2,0.161079,0,2,6,0.929167,0.233333,0.243058,1,0
1,2,0.0772304,1,12,1,0.791304,0.231304,0.2589,1,0
1,2,0.236937,1,10,4,0.728333,0.5225,0.512625,4,0
0,1,0.341352,1,3,1,0.551304,0.261739,0.238461,1,0
1,1,0.190929,0,2,6,0.534583,0.346667,0.355425,1,0
1,1,0.271775,1,6,3,0.36,0.6975,0.640792,3,0
0,1,0.167304,0,11,4,0.549167,0.373333,0.372471,4,1
0,1,0.172883,1,9,4,0.699167,0.616667,0.574512,4,0
0,2,0.228858,0,7,0,0.6825,0.716667,0.668575,3,0
0,1,0.136817,1,6,3,0.622083,0.775833,0.727279,2,0
1,1,0.0945458,1,10,2,0.641667,0.544167,0.530304,4,0
0,2,0.146767,0,4,0,0.8575,0.426667,0.426737,2,0
0,1,0.206475,1,9,5,0.6475,0.564167,0.544829,4,0
1,2,0.133696,1,5,4,0.768333,0.56,0.537242,2,0
1,1,0.142404,1,9,1,0.492917,0.514167,0.502513,4,0
